公司名称,统一社会信用代码,整合后产业链环节,是否有专利,注册地址,企业表所属城市,高德返回格式化地址,高德返回省,高德返回市,高德返回区县,adcode,经度,纬度,level,高德状态,高德信息,返回条数
深圳联合飞机科技有限公司,914403003116581250,上游,是,深圳市龙岗区园山街道大康社区联合飞机大厦2栋厂房101,深圳市,广东省深圳市龙岗区园山街道大康社区联合飞机大厦,广东省,深圳市,龙岗区,440307.0,114.235163,22.653903,兴趣点,1,OK,1
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市南山区招商街道花果山社区工业六路4号兴华工业大厦7栋AB座413A-5,深圳市,广东省深圳市南山区招商街道花果山社区工业六路4号兴华工业大厦7栋A座,广东省,深圳市,南山区,440305,113.919219,22.493348,门址,1,OK,1
嘉馨（广州）低空经济产业发展有限公司,91440113MAEGPGXA9J,上游,否,广州市番禺区东环街番禺大道北555号天安总部中心23号楼1101单元,广州市,广东省广州市番禺区番禺大道北555号天安总部中心23号楼,广东省,广州市,番禺区,440113.0,113.373908,22.978208,门址,1,OK,1
广东横琴东昇防务科技有限公司,91440400MACN71M6XE,上游,否,珠海市横琴天羽道48号1011文化创意,珠海市,广东省珠海市香洲区横琴天羽道91号,广东省,珠海市,香洲区,440402.0,113.518232,22.123953,门牌号,1,OK,1
星耀空科低空科技（深圳）有限公司,91440300MAEB3T1B45,上游,否,深圳市龙华区龙华街道松和社区东环一路108号油松科技大厦B1342,深圳市,广东省深圳市龙华区龙华街道松和社区东环一路108号油松科技大厦b1342号,广东省,深圳市,龙华区,440309,114.040088,22.645408,门址,1,OK,1
深圳蜚廉低空飞行服务有限公司,91440300MADFFCFB4G,上游,否,深圳市龙岗区吉华街道甘坑社区甘李二路11号中海信创新产业城21栋103,深圳市,广东省深圳市龙岗区吉华街道甘坑社区甘李二路11号中海信创新产业城21栋,广东省,深圳市,龙岗区,440307,114.118475,22.648694,兴趣点,1,OK,1
珠海光恒科技有限公司,91440400MA4WAGEK48,上游,否,珠海市香洲区永南路388号2栋201房,珠海市,广东省珠海市香洲区,广东省,珠海市,香洲区,440402.0,113.543372,22.265635,区县,1,OK,1
深圳市大疆创新科技有限公司,914403007954257495,中游,是,深圳市南山区西丽街道西丽社区仙元路53号大疆天空之城T2大堂,深圳市,广东省深圳市南山区西丽街道西丽社区大疆天空之城,广东省,深圳市,南山区,440305.0,113.942888,22.577473,兴趣点,1,OK,1
广州极飞科技股份有限公司,91440106593721849Y,中游,是,广州市黄埔区新瑞路9号1号楼101房,广州市,广东省广州市黄埔区新瑞路9号,广东省,广州市,黄埔区,440112.0,113.480754,23.159317,门址,1,OK,2
深圳市道通智能航空技术股份有限公司,91440300306077254B,中游,是,深圳市前海深港合作区南山街道桂湾五路128号基金小镇基金9米商业平台29-24（一照多址企业）,深圳市,广东省深圳市南山区前海南山街道桂湾基金小镇,广东省,深圳市,南山区,440305,113.904625,22.529312,乡镇,1,OK,1
华为技术有限公司,914403001922038216,中游,是,深圳市龙岗区坂田华为总部办公楼,深圳市,广东省深圳市龙岗区,广东省,深圳市,龙岗区,440307.0,114.246884,22.720889,区县,1,OK,1
广东汇天航空航天科技有限公司,91440101MA9W1BQA5Y,中游,是,广州市天河区岑村丰庄大街8号8层801室,广州市,广东省广州市天河区岑村丰庄大街,广东省,广州市,天河区,440106.0,113.381784,23.159138,道路,1,OK,3
丰翼科技(深圳)有限公司,91440300MA5FA4QL2L,中游,是,深圳市宝安区航城街道草围社区深圳机场航站四路1111号顺丰华南转运中心综合楼六层,深圳市,广东省深圳市宝安区航城街道草围街道新和社区航站四路1111号,广东省,深圳市,宝安区,440306.0,113.832804,22.620869,门址,1,OK,3
亿航智能设备有限公司,91440116MA59AB9P0B,中游,是,广州市黄埔区东江大道118号,广州市,广东省广州市黄埔区东江大道118号,广东省,广州市,黄埔区,440112,113.529652,23.054508,门牌号,1,OK,1
南方电网通用航空服务有限公司,91530000MA6MYLGN0A,中游,是,广州市南沙区横沥镇明珠一街1号404房A207（仅限办公）,广州市,广东省广州市南沙区横沥镇,广东省,广州市,南沙区,440115.0,113.498253,22.749483,乡镇,1,OK,1
深城交科技集团股份有限公司,91440300671877217N,中游,是,深圳市龙华区民治街道北站社区龙华设计产业园总部大厦1栋1101,深圳市,广东省深圳市龙华区民治街道北站社区龙华设计产业园(公交站),广东省,深圳市,龙华区,440309.0,114.02341,22.612012,公交地铁站点,1,OK,2
珠海市双捷科技有限公司,914404000684993620,中游,是,珠海市香洲区福田路18号1栋1层103-257室（集中办公区）,珠海市,广东省珠海市香洲区福田路18号,广东省,珠海市,香洲区,440402.0,113.50271,22.292001,门址,1,OK,2
广州中科云图智能科技有限公司,91440101MA59P95W94,中游,是,广州市海珠区新港东路2429号五层518房（仅限办公）,广州市,广东省广州市海珠区新港东路2429号,广东省,广州市,海珠区,440105,113.399803,23.094168,门址,1,OK,2
广州市华科尔科技股份有限公司,91440115734926603P,中游,是,广州市南沙区东涌镇太石工业区,广州市,广东省广州市南沙区东涌镇太石工业区,广东省,广州市,南沙区,440115.0,113.402701,22.890164,住宅区,1,OK,1
深圳市好盈科技股份有限公司,914403007787549030,中游,是,深圳市龙岗区宝龙街道宝龙社区诚信路8号亚森工业厂区4号厂房101-402,深圳市,广东省深圳市龙岗区宝龙街道宝龙社区诚信路8号亚森工业厂区4号,广东省,深圳市,龙岗区,440307.0,114.280694,22.684798,门址,1,OK,1
深圳市科卫泰实业发展有限公司,91440300279392266B,中游,是,深圳市宝安区西乡鹤洲恒丰工业城C3栋二层,深圳市,广东省深圳市宝安区西乡镇鹤洲恒丰工业城c3栋,广东省,深圳市,宝安区,440306,113.868657,22.631012,门址,1,OK,1
南方电网电力科技股份有限公司,91440000190345797E,中游,是,广州市越秀区西华路捶帽新街1-3号华业大厦附楼501-503室（不可作厂房使用）,广州市,广东省广州市越秀区西华路捶帽新街1-3号华业大厦,广东省,广州市,越秀区,440104.0,113.248567,23.131838,兴趣点,1,OK,2
哈瓦国际航空技术(深圳)有限公司,91440300319491403H,中游,是,深圳市龙华新区观澜石马径社区新湖路28号A栋厂房1楼南侧、4楼A区及5楼,深圳市,广东省深圳市龙华区龙华新区观澜石马径新湖北街28号,广东省,深圳市,龙华区,440309.0,114.090797,22.714826,门址,1,OK,2
美团科技有限公司,91440300MA5G0YNU5T,中游,是,深圳市龙华区民治街道北站社区汇隆商务中心2号楼1103,深圳市,广东省深圳市龙华区民治街道北站社区HBC汇隆中心2号楼,广东省,深圳市,龙华区,440309.0,114.0329,22.611134,门址,1,OK,1
珠海紫燕无人飞行器有限公司,91440400304050613H,中游,是,珠海市高新区唐家湾镇科技七路1号2栋101单元,珠海市,广东省珠海市香洲区唐家湾镇科技七路1号2栋,广东省,珠海市,香洲区,440402,113.561860,22.394240,小巷,1,OK,3
广州亿航智能技术有限公司,91440106304742759X,中游,是,广州市天河区思成路35号1单元801-110室,广州市,广东省广州市天河区思成路35号,广东省,广州市,天河区,440106.0,113.421436,23.177673,门址,1,OK,2
深圳市喜悦智慧数据有限公司,91440300319512147W,中游,是,深圳市龙华区民治街道大岭社区红山六九七九二期9栋702（26座7层702室）,深圳市,广东省深圳市龙华区民治街道大岭社区居委会红山六九七九二期,广东省,深圳市,龙华区,440309.0,114.025367,22.621653,住宅区,1,OK,1
深圳市大疆灵眸科技有限公司,914403000589938852,中游,是,深圳市南山区西丽街道西丽社区仙元路55号大疆天空之城T1-23F-S11,深圳市,广东省深圳市南山区西丽街道西丽社区大疆天空之城,广东省,深圳市,南山区,440305.0,113.942888,22.577473,兴趣点,1,OK,1
佛山市南海区大数据投资建设有限公司,91440605MA52DEJ91R,中游,是,佛山市南海区桂城街道金科路6号粤港金融科技园1座二楼（住所申报）,佛山市,广东省佛山市南海区桂城街道住所申报,广东省,佛山市,南海区,440605,113.095075,23.062075,兴趣点,1,OK,2
佛山顺德光启尖端装备有限公司,91440606MA531XDX75,中游,是,广东省佛山市顺德区杏坛镇顺业西路17号,佛山市,广东省佛山市顺德区杏坛镇顺业西路,广东省,佛山市,顺德区,440606.0,113.200811,22.754777,道路,1,OK,3
珠海安擎科技有限公司,91440402MA7F2J5E28,中游,是,珠海市香洲区旅游路168号（梅溪商业广场B座）云溪谷数字产业园5层5-214（集中办公区）,珠海市,广东省珠海市香洲区旅游路168号梅溪商业广场,广东省,珠海市,香洲区,440402.0,113.513212,22.281761,兴趣点,1,OK,1
顺丰科技有限公司,91440300687582704U,中游,是,深圳市南山区学府路（以南）与白石路（以东）交汇处深圳市软件产业基地1栋B座6-13层,深圳市,广东省深圳市南山区学府路与白石路深圳市软件产业基地1栋b座,广东省,深圳市,南山区,440305.0,113.940283,22.524455,小巷,1,OK,1
珠海天晴航空航天科技有限公司,91440400MA4UQCBU13,中游,是,珠海市金湾区红旗镇珠海大道6898号3#厂房1层102室,珠海市,广东省珠海市金湾区红旗镇珠海大道6898号,广东省,珠海市,金湾区,440404.0,113.32451,22.112447,门址,1,OK,3
广东新禾智慧数字科技有限公司,914401065937484197,中游,是,广州市黄埔区科学大道237号401,广州市,广东省广州市黄埔区科学大道237号,广东省,广州市,黄埔区,440112.0,113.456988,23.172135,门址,1,OK,2
深圳市智源万联科技有限公司,91440300MADFQJH81G,中游,是,深圳市南山区粤海街道科技园社区科苑路11号金融科技大厦23-A04,深圳市,广东省深圳市南山区粤海街道科技园社区居委会科丰路11号金融科技大厦,广东省,深圳市,南山区,440305.0,113.944647,22.546097,兴趣点,1,OK,2
广东电网有限责任公司,91440000730486030B,下游,是,广州市越秀区东风东路757号,广州市,广东省广州市越秀区东风东路757号,广东省,广州市,越秀区,440104,113.308520,23.132286,门址,1,OK,2
比亚迪股份有限公司,91440300192317458F,下游,是,深圳市大鹏新区葵涌街道延安路一号,深圳市,广东省深圳市龙岗区葵涌街道延安路1-3号,广东省,深圳市,龙岗区,440307.0,114.435752,22.632647,门址,1,OK,3
广东电网有限责任公司广州供电局,91440101734916755P,下游,是,广州市天河区天河南二路2号,广州市,广东省广州市天河区天河南二路2号,广东省,广州市,天河区,440106.0,113.329518,23.131384,门址,1,OK,2
广东电网有限责任公司东莞供电局,914419007385933083,下游,是,广东省东莞市东城街道东城路东城段239号,东莞市,广东省东莞市东城街道东城路东城段239号,广东省,东莞市,,441900.0,113.788427,23.063622,门牌号,1,OK,1
