公司名称,统一社会信用代码,注册地址,企业主表所属城市,高德返回格式化地址,高德返回省,高德返回市,高德返回区县,adcode,经度,纬度,level,高德状态,高德信息,返回条数
广东省低空经济产业发展有限公司,91440000MADNK47L8G,广东省广州市白云区三元里街道机场路航云北街自编342幢2楼,广州市,广东省广州市白云区三元里街道机场路航云北街,广东省,广州市,白云区,440111,113.261524,23.179122,道路,1,OK,3
鹏城低空经济产业发展（深圳）有限公司,91440300MA5HRHAL06,深圳市福田区华强北街道荔村社区华强北路2030号桑达418栋夹1层整层,深圳市,广东省深圳市福田区华强北街道荔村社区华强北路2030号,广东省,深圳市,福田区,440304,114.085654,22.548192,门牌号,1,OK,1
国合智联低空经济研究（广州）有限公司,91440101MA5AQDU541,广州市南沙区进港大道20号119商铺自编402室（仅限办公用途）,广州市,广东省广州市南沙区进港大道20号,广东省,广州市,南沙区,440115,113.545219,22.799759,门址,1,OK,2
星链低空经济产业（广东）有限公司,91440300MADN5D039E,深圳市前海深港合作区南山街道自贸西街151号招商局前海经贸中心一期401-A19,深圳市,广东省深圳市南山区前海深港合作区南山街道自贸西街,广东省,深圳市,南山区,440305,113.888338,22.502337,道路,1,OK,4
广州低空经济科技有限公司,91440118MADN3D7G9W,广州市增城区华立科技园华立路1号广东工业大学华立学院办公楼7号8175,广州市,广东省广州市增城区华立学院(公交站),广东省,广州市,增城区,440118,113.862951,23.239128,公交地铁站点,1,OK,1
东融低空经济产业（深圳）有限公司,91440300MACM90CQ7A,深圳市盐田区盐田街道盐田社区盐三路东部通航直升机基地1层,深圳市,广东省深圳市宝安区盐田村宝安街道盐田社区,广东省,深圳市,宝安区,440306,113.862630,22.580950,村庄,1,OK,5
广州低空经济发展有限公司,91440104MACCLRUY7P,广州市越秀区解放南路123号3楼B35,广州市,广东省广州市越秀区解放南路123号,广东省,广州市,越秀区,440104,113.262313,23.116949,门址,1,OK,4
东莞市低空经济发展有限公司,91441900MAE55MNM0H,广东省东莞市松山湖园区学府路1号9栋108室,东莞市,广东省东莞市松山湖学府路1号9栋,广东省,东莞市,,441900,113.866119,22.899097,小巷,1,OK,3
深圳低空经济发展有限公司,91440300MACYHDQ117,深圳市龙华区观澜街道桂花社区贵湖塘街北巷8号201,深圳市,广东省深圳市龙华区观澜街道桂花社区贵湖塘街北巷8号,广东省,深圳市,龙华区,440309,114.056981,22.721253,门址,1,OK,1
华南低空经济（广东）有限公司,91441900MAE9MFMNXH,广东省东莞市塘厦镇高丽五路1号之七2栋302室,东莞市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
岭南低空经济（广东）有限公司,91441900MAE9W1PY5U,广东省东莞市塘厦镇莲湖南四横路5号2号楼301室,东莞市,广东省东莞市塘厦镇莲湖南四横路5号,广东省,东莞市,,441900,114.107638,22.820023,门牌号,1,OK,2
广东省民资低空经济发展有限公司,91441900MAECTQJX3N,广东省东莞市南城街道东莞大道南城段428号寰宇汇金中心9栋2单元502室,东莞市,广东省东莞市南城街道东莞大道,广东省,东莞市,,441900,113.740356,22.987601,道路,1,OK,3
广东华疆低空经济有限公司,91441900MAEG8GEK77,广东省东莞市东城街道堑头围仔四巷6号之一,东莞市,广东省东莞市东城街道堑头街道四巷6号,广东省,东莞市,,441900,113.816882,23.037167,门址,1,OK,5
璀璨低空经济发展（广东）有限公司,91441900MAK20KJU6M,广东省东莞市松山湖园区总部二路9号1栋1单元407、409室（集群注册）,东莞市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
深圳市九州低空经济有限公司,91440300MA5HWRQK9H,深圳市罗湖区南湖街道嘉北社区人民南路3012号天安国际大厦C2306F7,深圳市,广东省深圳市罗湖区南湖街道嘉北社区社区人民南路天安国际大厦,广东省,深圳市,罗湖区,440303,114.119377,22.542010,兴趣点,1,OK,1
广东省湾区低空经济研究院,91440605MACKUJWX67,佛山市南海区丹灶镇仙湖度假区阳光路3号仙湖湾商业广场C座1层之一（住所申报）,佛山市,广东省佛山市南海区丹灶镇仙湖阳光路8号,广东省,佛山市,南海区,440605,112.884884,23.050042,门牌号,1,OK,8
广东飞能低空经济发展有限公司,91440523MAC9QJG88F,汕头市龙湖区蓝田庄南区4幢401号房之一,汕头市,广东省汕头市龙湖区蓝田庄南区,广东省,汕头市,龙湖区,440507,116.739315,23.369334,住宅区,1,OK,1
深圳竹园新低空经济发展有限公司,91440300MAEEP8Q33W,深圳市罗湖区翠竹街道翠竹社区东门北路2057号翠竹苑37栋1层整层,深圳市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
广州低空经济产业发展有限公司,91440115MAEHUHN71L,广州市南沙区横沥镇海望路7号第4层04自编号01单元-A18,广州市,广东省广州市南沙区横沥镇,广东省,广州市,南沙区,440115,113.498253,22.749483,乡镇,1,OK,1
深圳晟坤低空经济有限公司,91440300MA5GRELF2P,深圳市福田区沙头街道金碧社区福荣路58号鸿景湾名苑B栋1706,深圳市,广东省深圳市福田区沙头街道金碧社区福荣路58号鸿景湾名苑(东门),广东省,深圳市,福田区,440304,114.028318,22.522309,兴趣点,1,OK,1
韶关市鹏翔低空经济发展有限公司,91440204MAA4HQEQ44,韶关市武江区惠民北路493号奥园.韶关印象F幢4层11号客房,韶关市,广东省韶关市武江区惠民北路493号,广东省,韶关市,武江区,440203,113.572799,24.821152,门牌号,1,OK,1
广东财富低空经济有限公司,91441900MAEF1GR154,广东省东莞市沙田镇杨和路336号501室,东莞市,广东省东莞市沙田镇杨和路336号,广东省,东莞市,,441900,113.620781,22.925648,门牌号,1,OK,1
深圳兰德低空经济咨询有限公司,91440300312065452K,深圳市宝安区新安街道安乐社区40区新安一路与翻身路交汇处西侧银鸿大厦1018,深圳市,广东省深圳市宝安区新安街道安乐社区新安一路与翻身路西侧街道银鸿大楼,广东省,深圳市,宝安区,440306,113.901721,22.553568,兴趣点,1,OK,1
中和领航低空经济发展（深圳）有限公司,91440300MA5G0Y8T1X,深圳市光明区光明街道东周社区聚丰路1801号研祥智谷3栋三层,深圳市,广东省深圳市光明区光明街道东周凤凰社区聚丰路研祥智谷,广东省,深圳市,光明区,440311,113.925542,22.757492,住宅区,1,OK,2
深圳适航低空经济有限公司,91440300MAEDAJ7C3N,深圳市龙岗区园山街道保安社区赐昌路6号306-A14,深圳市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
深圳恒泽荣耀低空经济有限公司,914403000939188802,深圳市龙华区龙华街道景龙社区龙华人民路4122号锦福大厦601,深圳市,广东省深圳市龙华区龙华街道景龙社区龙华人民路4122号锦福大厦,广东省,深圳市,龙华区,440309,114.022433,22.654569,兴趣点,1,OK,1
广东正好低空经济产业发展有限公司,91440101MA9UM2J74X,广州市番禺区洛浦街道洛浦北环路88号LOFT54-4号楼111单元,广州市,广东省广州市番禺区洛浦街道北环路88号loft54号,广东省,广州市,番禺区,440113,113.293907,23.049488,小巷,1,OK,2
深圳民益低空经济发展有限公司,91440300MA5FP0HB4H,深圳市龙岗区龙岗街道南联社区爱南路289-3号202,深圳市,广东省深圳市龙岗区龙岗街道南联社区街道爱南路289-3号,广东省,深圳市,龙岗区,440307,114.259803,22.707593,门址,1,OK,1
城际低空经济产业发展（广州）有限公司,91440101MA5D3K068M,广州市番禺区南村镇员岗村鹏程围A07,广州市,广东省广州市番禺区南村镇员岗村鹏程围,广东省,广州市,番禺区,440113,113.357819,23.014898,未知,1,OK,2
广东省飞的低空经济产业有限公司,91440300MA5HNMFG3D,深圳市光明区新湖街道云谷社区圳园路98号光明天安云谷产业园1栋A座35层,深圳市,广东省深圳市光明区新湖街道圳园路光明天安云谷,广东省,深圳市,光明区,440311,113.965554,22.790773,住宅区,1,OK,3
华南低空经济开发（广东）有限公司,91440111MADXNM8K0K,广州市白云区永平街永泰磨刀南街80号1002之C1369房,广州市,广东省广州市白云区永泰乡磨刀南街80号,广东省,广州市,白云区,440111,113.305908,23.221166,门址,1,OK,1
佛山君航低空经济技术发展有限公司,91440605MAE15LPX70,佛山市南海区狮山镇罗村联和大道45号26座之五（住所申报）,佛山市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
深圳智翔低空经济发展有限公司,91440300MAE5PJ9H11,深圳市福田区沙头街道天安社区泰然五路6号天安数码城天经大厦七层7C1-K21,深圳市,广东省深圳市福田区沙头街道天安社区居委会泰然五路6号深圳天安数码城天经大厦,广东省,深圳市,福田区,440304,114.031786,22.531544,兴趣点,1,OK,1
广东通翔低空经济发展有限公司,91440300MAEAYHA58U,江门市蓬江区良化新村西98号103室自编之二、203室、204室（一址多照）,江门市,广东省江门市蓬江区良化新村西98号之103,广东省,江门市,蓬江区,440703,113.103178,22.602937,门址,1,OK,1
中飞低空经济发展（汕尾）有限公司,91441502MAE9WFPB5M,汕尾市城区和顺路82号2楼202室（自主申报）,汕尾市,广东省汕尾市城区和顺路,广东省,汕尾市,城区,441502,115.382677,22.785019,道路,1,OK,1
深信低空经济发展（广东）有限公司,91442000MAEDFKRK6L,中山市南朗街道翠亨新区中准道32号非常城市智慧港1栋11层11G01,中山市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
华粤低空经济（深圳）有限公司,91440300MAED1Y1C72,深圳市南山区粤海街道科技园社区科苑路8号讯美科技广场1号楼27B,深圳市,广东省深圳市南山区粤海街道科技园社区居委会科苑北路8号讯美科技广场1号楼,广东省,深圳市,南山区,440305,113.947513,22.546076,兴趣点,1,OK,1
深圳飞飞低空经济科技有限公司,91440300MAEDGFPM1D,深圳市光明区玉塘街道玉律社区光侨大道1028号汇东晟工业园4栋801,深圳市,广东省深圳市光明区玉塘街道玉律社区根玉路1028号,广东省,深圳市,光明区,440311,113.904769,22.720632,门牌号,1,OK,2
广东光擎智联低空经济发展有限公司,91440812MAEEEBBE6X,湛江经济技术开发区绿华路48号华都汇7号综合楼22A07号04办公室（仅限办公用途）,湛江市,广东省湛江市霞山区绿华路华都汇(5号门)7号综合楼,广东省,湛江市,霞山区,440803,110.398488,21.228991,小巷,1,OK,1
广东万维航科低空经济发展有限公司,91440812MAEG4BPF08,湛江经济技术开发区乐金路19号上景中心1号商务办公楼1906号办公室（一址多照）,湛江市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
中和科苑低空经济发展（东莞）有限公司,91441900MAEKCE83X1,广东省东莞市大岭山镇大岭大坪街39号201室,东莞市,广东省东莞市大岭山镇大岭,广东省,东莞市,,441900,113.976312,22.951434,村庄,1,OK,5
中粤航低空经济（深圳）有限公司,91440300MADURURC7C,深圳市南山区粤海街道高新区社区高新南七道206号高新工业村R2-B座562,深圳市,广东省深圳市南山区粤海街道高新区社区高新南七道206号高新工业村r2-b座,广东省,深圳市,南山区,440305,113.943905,22.533966,门址,1,OK,1
城市快线（深圳）低空经济发展有限公司,91440300MAE03GA817,深圳市南山区粤海街道滨海社区高新南十道81、83、85号深圳市软件产业基地1栋A座6F-1,深圳市,广东省深圳市南山区粤海街道滨海社区居委会高新南十道81号深圳市软件产业基地1栋a座,广东省,深圳市,南山区,440305,113.939363,22.524558,小巷,1,OK,1
马上起飞（深圳）低空经济有限公司,91440300MAE447RK2U,深圳市宝安区新安街道布心社区74区布心二村C1-2栋416,深圳市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
广东省彩航低空经济发展有限公司,91441900MAE6569F1T,广东省东莞市道滘镇万道路道滘段2号8号楼310室,东莞市,广东省东莞市道滘镇万道路道滘段,广东省,东莞市,,441900,113.686910,23.016162,道路,1,OK,3
跨界低空经济发展（深圳）有限公司,91440300MAE77J4R5J,深圳市盐田区盐田街道明珠社区盐田北四街1号和亨中心广场A栋2306,深圳市,广东省深圳市盐田区盐田街道明珠社区盐田北四街1号和亨中心广场a栋,广东省,深圳市,盐田区,440308,114.251323,22.588834,门址,1,OK,1
深圳市建效合得低空经济有限公司,91440300MAE8A56P08,深圳市龙岗区园山街道荷坳社区龙岗大道8288号大运软件小镇15栋101,深圳市,广东省深圳市龙岗区园山街道荷坳社区龙岗大道8288号大运软件小镇15栋,广东省,深圳市,龙岗区,440307,114.229150,22.684965,兴趣点,1,OK,1
中科低空经济（广东）有限公司,91440604MAE94ATM4M,佛山市禅城区南庄镇陶博大道10号一座1215室（住所申报）,佛山市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
时空鹰（中山）低空经济有限公司,91442000MAE9N3HC0M,中山市横栏镇庆丰路23号首层之2,中山市,广东省中山市横栏镇庆丰路23号,广东省,中山市,,442000,113.187643,22.619124,门牌号,1,OK,2
领路者（深圳）低空经济投资有限公司,91440300MAE8YP5D18,深圳市宝安区西乡街道蚝业社区大铲湾蓝色未来科技园二期9栋4层,深圳市,广东省深圳市宝安区西乡宝安街道蚝业社区大铲湾蓝色未来科技园(公交站),广东省,深圳市,宝安区,440306,113.860380,22.553109,公交地铁站点,1,OK,1
粤东低空经济（广东）有限公司,91440604MAE95LGY59,佛山市禅城区石湾镇街道季华六路32号四座802室（住所申报）,佛山市,广东省佛山市禅城区石湾镇街道季华六路32号,广东省,佛山市,禅城区,440604,113.139327,23.011818,门址,1,OK,3
广东再来低空经济发展有限公司,91440802MAEA7DU65U,湛江市赤坎区百姓东一路26号601房（仅限办公）,湛江市,广东省湛江市赤坎区百姓东一路26号,广东省,湛江市,赤坎区,440802,110.369977,21.267193,门址,1,OK,1
港澳大湾低空经济（广东）有限公司,91440604MAE9RW1G21,佛山市禅城区南庄镇帝景北路16号2区十一座1305房（住所申报）,佛山市,广东省佛山市禅城区南庄镇帝景北路16号住所申报,广东省,佛山市,禅城区,440604,113.012925,22.980925,兴趣点,1,OK,2
新航道（佛山）低空经济发展有限公司,91440606MAEA6A1J3G,佛山市顺德区乐从镇东平社区岭南大道南10号新睿广场1栋1003室（住所申报）,佛山市,广东省佛山市顺德区乐从镇永兴社区住所申报,广东省,佛山市,顺德区,440606,113.200017,22.931592,兴趣点,1,OK,4
中交低空经济（广东）有限公司,91440604MAE9FGW34Y,佛山市禅城区张槎街道轻工南七街3号内自编2号楼五层东侧A区48D室,佛山市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
中深低空经济（深圳）有限公司,91440300MAE8RMLR1L,深圳市南山区粤海街道科技园社区科苑路8号讯美科技广场1号楼2013,深圳市,广东省深圳市南山区粤海街道科技园社区居委会科苑北路8号讯美科技广场1号楼,广东省,深圳市,南山区,440305,113.947513,22.546076,兴趣点,1,OK,1
顺天明德（广东）低空经济发展有限公司,91440606MAEAP3BC47,佛山市顺德区伦教街道常教社区世纪路6号华海大厦108号商铺之十,佛山市,广东省佛山市顺德区伦教街道常教社区居委会世纪大道6号华海大厦,广东省,佛山市,顺德区,440606,113.204468,22.884373,兴趣点,1,OK,1
明途领航（中山）低空经济发展有限公司,91442000MAE96K3M7W,中山市南朗街道兴朗路东侧2号23卡之一,中山市,广东省中山市南朗街道兴朗路,广东省,中山市,,442000,113.539634,22.500239,道路,1,OK,6
涡小流低空经济发展（佛山）有限公司,91440608MAEBAX6PXA,佛山市高明区荷城街道西头村犀头创意产业园C101号之二（住所申报）,佛山市,广东省佛山市高明区荷城街道西头村犀头创意产业园,广东省,佛山市,高明区,440608,112.879259,22.906496,住宅区,1,OK,3
南方低空经济（广东）有限公司,91440883MAEAREF880,吴川市博铺街道梅化路旁边房屋三楼（钟康娣房屋）（住所信息自主申报）,湛江市,广东省湛江市吴川市博铺街道梅化路,广东省,湛江市,吴川市,440883,110.792054,21.449702,道路,1,OK,3
阖众低空经济发展（广东）有限公司,91440300MAEB68JR9Q,深圳市罗湖区莲塘街道莲花社区港莲路2号莲通楼A204,深圳市,广东省深圳市罗湖区莲塘街道莲花社区港莲路2号,广东省,深圳市,罗湖区,440303,114.180130,22.558277,门址,1,OK,3
中能低空经济（深圳）有限公司,91440300MAEBLKEN9T,深圳市南山区粤海街道高新区社区科技南十二路18号长虹科技大厦1611,深圳市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
航旅低空经济（深圳）有限公司,91440300MAEBB8BC2L,深圳市南山区招商街道花果山社区工业六路4号兴华工业大厦7栋AB座409-4,深圳市,广东省深圳市南山区招商街道花果山社区工业六路4号兴华工业大厦7栋A座,广东省,深圳市,南山区,440305,113.919219,22.493348,门址,1,OK,1
创华低空经济（深圳）有限公司,91440300MAEC599L43,深圳市南山区粤海街道高新区社区科技南十二路18号长虹科技大厦811,深圳市,广东省深圳市南山区粤海街道高新区社区高新南七道18号长虹科技大厦,广东省,深圳市,南山区,440305,113.957613,22.538135,兴趣点,1,OK,1
航宇低空经济（深圳）有限公司,91440300MAEBJ8Q38X,深圳市南山区招商街道花果山社区工业六路4号兴华工业大厦7栋CD座401-19,深圳市,广东省深圳市南山区招商街道花果山社区工业六路4号兴华工业大厦7栋cd座,广东省,深圳市,南山区,440305,113.920388,22.494623,未知,1,OK,1
云界（深圳）低空经济发展有限公司,91440300MAEC0KLW38,深圳市宝安区西乡街道固戍社区下围园万力华一方天地互联网产业园A栋(G1)303,深圳市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
中安低空经济（广东）有限公司,91441900MAECNX877Q,广东省东莞市塘厦镇林电路5号1401室,东莞市,广东省东莞市塘厦镇林电路6号,广东省,东莞市,,441900,114.084990,22.841282,门牌号,1,OK,1
中粤低空经济（深圳）有限公司,91440300MAECP38D59,深圳市罗湖区南湖街道嘉北社区人民南路3009号新安大厦1208,深圳市,广东省深圳市罗湖区南湖街道嘉北社区社区人民南路新安大厦,广东省,深圳市,罗湖区,440303,114.118432,22.541939,兴趣点,1,OK,1
华中（深圳）低空经济发展有限公司,91440300MAECCUFD20,深圳市南山区粤海街道高新区社区科技南十二路18号长虹科技大厦2406,深圳市,广东省深圳市南山区粤海街道高新区社区高新南七道18号长虹科技大厦,广东省,深圳市,南山区,440305,113.957613,22.538135,兴趣点,1,OK,1
中资低空经济（广东）有限公司,91440604MAECTQH435,佛山市禅城区张槎街道佛山大道北179号3座310室（住所申报）,佛山市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
深圳亿航低空经济咨询有限公司,91440300MAECTUBB3N,深圳市南山区南头街道大汪山社区桃园东路1号西海明珠花园F座2013-2,深圳市,广东省深圳市南山区南头街道大汪山社区西海明珠花园F座,广东省,深圳市,南山区,440305,113.930919,22.531728,兴趣点,1,OK,1
中天低空经济（深圳）有限公司,91440300MAEC439U6D,深圳市南山区粤海街道大冲社区深南大道9672号大冲商务中心（一期）2栋4号楼18A,深圳市,广东省深圳市南山区粤海街道大冲深南大道9672号大冲商务中心,广东省,深圳市,南山区,440305,113.952558,22.541045,兴趣点,1,OK,2
深圳艾翔低空经济科技有限公司,91440300MAEC94LY5R,深圳市宝安区航城街道三围社区雅居苑B栋9单元203,深圳市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
蓝锐华疆（深圳）低空经济产业有限公司,91440300MAED5W666M,深圳市龙华区民治街道新牛社区牛栏前大厦A911,深圳市,广东省深圳市龙华区民治街道新牛社区牛栏前大厦,广东省,深圳市,龙华区,440309,114.037728,22.634724,兴趣点,1,OK,1
深圳新空时代低空经济有限公司,91440300MAEDFCPP25,深圳市福田区沙头街道天安社区泰然五路6号天安数码城天经大厦二层2D18,深圳市,广东省深圳市福田区沙头街道天安社区居委会泰然五路6号深圳天安数码城天经大厦,广东省,深圳市,福田区,440304,114.031786,22.531544,兴趣点,1,OK,1
中产低空经济（深圳）有限公司,91440300MAEBRH9P8L,深圳市罗湖区莲塘街道莲花社区港莲路2号莲通楼A604,深圳市,广东省深圳市罗湖区莲塘街道莲花社区港莲路2号,广东省,深圳市,罗湖区,440303,114.180130,22.558277,门址,1,OK,1
广东印太低空经济有限公司,91440106MAEC4TAJ33,广州市天河区天寿路沾益直街4号大院第2宗地自编4号南座3-6层C303房,广州市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
汕尾市联智低空经济有限公司,91441502MAECE0NR7K,汕尾市城区西洋村6号退役军人创业孵化基地一楼1121号（自主申报）,汕尾市,,,,,,,,,0,ENGINE_RESPONSE_DATA_ERROR,0
广飞低空经济（深圳）有限公司,91440300MAEDMNQR3N,深圳市南山区粤海街道高新区社区科技南十二路18号长虹科技大厦806-07,深圳市,广东省深圳市南山区粤海街道高新区社区高新南七道18号长虹科技大厦,广东省,深圳市,南山区,440305,113.957613,22.538135,兴趣点,1,OK,1
飞悦低空经济（深圳）有限公司,91440300MAEDCJ394F,深圳市福田区福田街道福山社区滨河大道5022号联合广场A座2002P19,深圳市,广东省深圳市福田区福田街道福山社区滨河大道5022号联合广场a座,广东省,深圳市,福田区,440304,114.068923,22.529947,门址,1,OK,1
领航低空经济（广东）有限公司,91441900MAEDDBG582,广东省东莞市南城街道溢园街5号2栋510室（集群注册）,东莞市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
万域（深圳）低空经济投资有限公司,91440300MAEEP4CY74,深圳市龙华区民治街道新牛社区牛栏前大厦A911,深圳市,广东省深圳市龙华区民治街道新牛社区牛栏前大厦,广东省,深圳市,龙华区,440309,114.037728,22.634724,兴趣点,1,OK,1
湛江金湛云低空经济发展有限公司,91440802MAEEGWYJ19,湛江市赤坎区幸福路59号幸福花园6栋104房,湛江市,广东省湛江市赤坎区幸福路59号,广东省,湛江市,赤坎区,440802,110.364655,21.277188,门址,1,OK,2
惠州市蜻蜓低空经济发展有限公司,91441381MAEDU3DX9T,惠州市惠阳区秋长高岭村鑫月御园1层25号,惠州市,广东省惠州市惠阳区秋长高岭村鑫月御园,广东省,惠州市,惠阳区,441303,114.437650,22.805388,住宅区,1,OK,1
灵鸢低空经济（广东）有限公司,91441900MAEEN8JG4Y,广东省东莞市南城街道溢园街5号2栋510室（集群注册）,东莞市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
广东全域低空经济有限公司,91441900MAEDDWYF11,广东省东莞市南城街道溢园街5号2栋510室（集群注册）,东莞市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
金航通（汕头）低空经济有限公司,91440500MAEFAY863C,汕头市津河路22号凯旋门雅苑12幢409之四十三,汕头市,广东省汕头市龙湖区津河路22号凯旋门雅苑(西南门),广东省,汕头市,龙湖区,440507,116.772406,23.348438,兴趣点,1,OK,1
深圳擎空低空经济有限公司,91440300MAEERM678P,深圳市宝安区新桥街道新桥社区新桥三路11号新熙大厦603,深圳市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
嘉馨（广州）低空经济产业发展有限公司,91440113MAEGPGXA9J,广州市番禺区东环街番禺大道北555号天安总部中心23号楼1101单元,广州市,广东省广州市番禺区番禺大道北555号天安总部中心23号楼,广东省,广州市,番禺区,440113,113.373908,22.978208,门址,1,OK,1
广东粤粮低空经济产业发展有限公司,91440105MAEF38Q26T,广州市海珠区沥滘路368号34层自编3401、3402、3403单元,广州市,广东省广州市海珠区沥滘路368号,广东省,广州市,海珠区,440105,113.313283,23.053933,门址,1,OK,2
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,深圳市南山区招商街道花果山社区工业六路4号兴华工业大厦7栋AB座413A-5,深圳市,广东省深圳市南山区招商街道花果山社区工业六路4号兴华工业大厦7栋A座,广东省,深圳市,南山区,440305,113.919219,22.493348,门址,1,OK,1
韶关航宇低空经济发展有限公司,91440204MAEGNB862R,韶关市浈江区大学路313号浈江中等职业学校教学实训楼6栋5层,韶关市,广东省韶关市浈江区大学路151,广东省,韶关市,浈江区,440204,113.609840,24.803777,门牌号,1,OK,5
华鹰低空经济开发（深圳）有限公司,91440300MAEGQQAG4E,深圳市南山区招商街道水湾社区太子路18号海景广场大厦4C10D29,深圳市,广东省深圳市南山区招商街道水湾太子路18号,广东省,深圳市,南山区,440305,113.914375,22.482813,门址,1,OK,1
