申请号,专利名称,申请年份,申请人,主导申请人名称,当前权利人,专利表统一社会信用代码,建议匹配企业,建议匹配信用代码,建议匹配方式,人工复核原因
CN202010842822.X,变电站立体化安全监控方法、装置，服务器及存储介质,2020,广东电网有限责任公司清远供电局,广东电网有限责任公司清远供电局,广东电网有限责任公司清远供电局,914418028975868503,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202011280748.3,一种无人机自动避障导线的方法及系统,2020,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,914412001952813907,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202110909513.4,一种基于多旋翼无人机的图像识别方法及装置,2021,广州中科智云科技有限公司,广州中科智云科技有限公司,广州中科智云科技有限公司,91440101MA5AK5454X,广州中科云图智能科技有限公司,91440101MA59P95W94,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.846
CN202080004875.2,无人机下降的控制方法和装置、无人机,2020,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆百旺科技有限公司,914403007954257495,深圳市大疆创新科技有限公司,914403007954257495,信用代码直连,主导申请人与当前权利人不一致
CN202311259360.9,一种启发式快速探索随机树的电力杆塔三维航线规划方法,2023,广东电网有限责任公司汕尾供电局,广东电网有限责任公司汕尾供电局,广东电网有限责任公司汕尾供电局,9144150063284114XA,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202110020541.0,一种无人机避障方法和装置,2021,深圳市智胜联合科技有限公司,深圳市智胜联合科技有限公司,深圳市智胜联合科技有限公司,91440300MA5H170D2A,深圳市智源万联科技有限公司,91440300MADFQJH81G,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.846
CN202011401276.2,一种基于图像识别的无人机自动评分系统及方法,2020,广东电网有限责任公司湛江供电局,广东电网有限责任公司湛江供电局,广东电网有限责任公司湛江供电局,91440803194383571C,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202010961565.1,一种利用空地融合真三维场景对线路施工监督的方法,2020,广东电网有限责任公司江门供电局,广东电网有限责任公司江门供电局,广东电网有限责任公司江门供电局,9144070361774339XT,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410496268.2,一种换流站专用无人机智能导航与摄像系统,2024,广州中科智云科技有限公司,广州中科智云科技有限公司,广州中科智云科技有限公司,91440101MA5AK5454X,广州中科云图智能科技有限公司,91440101MA59P95W94,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.846
CN202110901495.5,一种航拍图像的绝缘子缺陷检测方法及装置,2021,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202011025674.9,高压线行树障风险点的检测方法、装置、设备及介质,2020,广东电网有限责任公司韶关供电局,广东电网有限责任公司韶关供电局,广东电网有限责任公司韶关供电局,914402001915260394,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202110972413.6,变电站的三维建模方法和装置,2021,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202011467427.4,无人机坠机检测方法、系统、装置、无人机和存储介质,2020,广东电网有限责任公司佛山供电局; 南方电网数字电网研究院有限公司,广东电网有限责任公司佛山供电局,南方电网数字电网科技(广东)有限公司,9144060073757157XN; 91440000MA4WCUGX22,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),多申请人；未匹配到企业；主导申请人与当前权利人不一致；存在高相似候选:0.867
CN202111630746.7,无人机架空线路巡检协同控制方法、系统和存储介质,2021,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202211303784.6,一种基于配电网环境的多无人机路径规划方法及相关装置,2022,广东电网有限责任公司云浮供电局; 南方电网科学研究院有限责任公司,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局; 南方电网科学研究院有限责任公司,91445302736165326Y; 914400005645564342,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),多申请人；未匹配到企业；主导申请人与当前权利人不一致；存在高相似候选:0.867
CN202010088731.1,一种路径规划方法及相关设备,2020,华为技术有限公司,华为技术有限公司,深圳引望智能技术有限公司,914403001922038216,华为技术有限公司,914403001922038216,信用代码直连,主导申请人与当前权利人不一致
CN202110903217.3,电力设备的缺陷识别方法、装置、计算机设备和存储介质,2021,广东电网有限责任公司佛山供电局; 南方电网数字电网研究院有限公司,广东电网有限责任公司佛山供电局,南方电网数字电网科技(广东)有限公司,9144060073757157XN; 91440000MA4WCUGX22,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),多申请人；未匹配到企业；主导申请人与当前权利人不一致；存在高相似候选:0.867
CN201811309875.4,无人机监控系统和电力场所监控系统,2018,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,91440000730486030B; 91441300617890883M,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411053007.X,一种基于激光雷达点云的无辅助数据电力档段自动分离方法,2024,广东电网有限责任公司江门供电局,广东电网有限责任公司江门供电局,广东电网有限责任公司江门供电局,9144070361774339XT,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410923849.X,一种无人机非法闯入检测系统、方法及计算机设备,2024,深圳市城市交通规划设计研究中心股份有限公司; 深圳市宝安设计集团有限公司,深圳市城市交通规划设计研究中心股份有限公司,深圳市城市交通规划设计研究中心股份有限公司; 深圳市宝安设计集团有限公司,91440300671877217N; 91440300192489356T,深城交科技集团股份有限公司,91440300671877217N,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410875884.9,基于倾斜摄影和三维激光扫描的不动产数据处理系统及其方法,2024,广东新禾道信息科技有限公司,广东新禾道信息科技有限公司,广东新禾智慧数字科技有限公司,914401065937484197,广东新禾智慧数字科技有限公司,914401065937484197,当前权利人代码直连,主导申请人与当前权利人不一致
CN202410540778.5,一种与司空系统对接的配电网监控方法和系统,2024,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,91445302736165326Y,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410374982.4,无人机巡视计划的处理方法、装置、设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,91440000730486030B; 914414000072087795,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410379940.X,基于动态障碍物感知的智能绕障控制方法、装置与无人机,2024,广东电网有限责任公司; 广东电网有限责任公司云浮供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司云浮供电局,91440000730486030B; 91445302736165326Y,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410618726.5,无人机的路径规划方法、装置、存储介质和电子装置,2024,广东电网有限责任公司江门供电局; 广东电网有限责任公司,广东电网有限责任公司江门供电局,广东电网有限责任公司江门供电局; 广东电网有限责任公司,9144070361774339XT; 91440000730486030B,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),多申请人；未匹配到企业；主导申请人与当前权利人不一致；存在高相似候选:0.867
CN202410373206.2,一种基于无人机巡航的设备沉降监测方法、系统、装置、设备及介质,2024,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,91440000730486030B; 914414000072087795,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410681333.9,一种无人机双目相机的自标定方法及装置,2024,深圳联合飞机科技有限公司,深圳联合飞机科技有限公司,深圳中航智飞机装备有限公司,914403003116581250,深圳联合飞机科技有限公司,914403003116581250,信用代码直连,主导申请人与当前权利人不一致
CN202410811432.4,一种边缘设备管理系统、管理方法及设备,2024,广东电网有限责任公司; 广东电网有限责任公司韶关供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司韶关供电局,91440000730486030B; 914402001915260394,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410648703.9,无人机的导航信号干扰预警系统、方法及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,91440000730486030B; 91440803194383571C,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410862806.5,无人机的控制方法和装置、存储介质及电子设备,2024,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,91440000730486030B; 91440803194383571C,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410835308.1,一种线路振动参数测量方法、装置、设备和存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410957250.8,一种无人机避障方法、装置及电子设备,2024,广东电网有限责任公司; 广东电网有限责任公司韶关供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司韶关供电局,91440000730486030B; 914402001915260394,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411066452.X,无人机的路径规划方法、装置和计算机程序产品,2024,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,91445302736165326Y,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202411157083.5,一种草地面积测量系统,2024,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,91440000730486030B; 914419007385933083,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411087080.9,线路检测方法、装置、存储介质及计算机程序产品,2024,广东电网有限责任公司茂名供电局,广东电网有限责任公司茂名供电局,广东电网有限责任公司茂名供电局,914409021949241474,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202411025027.6,多模态特征融合的电网设备检测方法、装置和电子设备,2024,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,91445302736165326Y,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410989663.4,一种计算任务调度方法、装置、终端设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司电力调度控制中心,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司电力调度控制中心,91440000730486030B; 91440104617404881F,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411244004.4,基于位姿信息的三维点云地图生成方法及装置,2024,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,91440000730486030B; 9144060073757157XN,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411353399.1,一种无人机故障检测方法、装置、设备及介质,2024,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,91440000730486030B; 914414000072087795,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411413163.2,一种具备RTK精准定位功能的无人机机载控制方法及系统,2024,广州中科智云科技有限公司,广州中科智云科技有限公司,广州中科智云科技有限公司,91440101MA5AK5454X,广州中科云图智能科技有限公司,91440101MA59P95W94,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.846
CN202411494052.9,一种供电管理系统、方法及系留无人机,2024,广东电网有限责任公司; 广东电网有限责任公司清远供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司清远供电局,91440000730486030B; 914418028975868503,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202310474106.4,面向无人机巡检的电力物联网信任度分析方法及相关装置,2023,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411917837.2,航空飞行装置,2024,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411770997.9,一种系留无人机辅助控制系统、方法、装置、设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,91440000730486030B; 91441300617890883M,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411665053.5,一种钠离子卤化物固态电解质复合膜材料及其制备方法与应用,2024,广东电网有限责任公司; 广东电网有限责任公司电力科学研究院; 广东新型储能国家研究院有限公司,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司电力科学研究院; 广东新型储能国家研究院有限公司,91440000730486030B; 91440000890323118Q; 91440112MACFHGQ47X,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411743289.6,更换无人机电池的机械臂以及无人机停放装置,2024,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,91445302736165326Y,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202411866175.0,一种电力巡检机器人自动充电装置,2024,广东电网有限责任公司; 广东电网有限责任公司电力科学研究院,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司电力科学研究院,91440000730486030B; 91440000890323118Q,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410423628.6,救灾现场通讯系统及工作方法,2024,广东电网有限责任公司茂名供电局,广东电网有限责任公司茂名供电局,广东电网有限责任公司茂名供电局,914409021949241474,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410967681.2,一种微型基站组的安装信息确定方法和微型基站控制系统,2024,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,91440000730486030B; 914414000072087795,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311381432.7,一种光储充无线充电平台装置,2023,深圳市雷铭科技发展有限公司,深圳市雷铭科技发展有限公司,深圳市雷铭科技发展有限公司,91440300767585470J,深圳市大疆灵眸科技有限公司,914403000589938852,相似名称候选(曾用名),未匹配到企业；存在高相似候选:0.833
CN202311798403.0,一种移动自组网部署方法、装置、设备和介质,2023,广东电网有限责任公司; 广东电网有限责任公司茂名供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司茂名供电局,91440000730486030B; 914409021949241474,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311833522.5,一种应急无线链路系统的连接方法和装置,2023,广东电网有限责任公司; 广东电网有限责任公司茂名供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司茂名供电局,91440000730486030B; 914409021949241474,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311703483.7,一种应用于无人机集群巡检系统与在线监测系统,2023,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,914412001952813907,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202311688720.7,混合组网软硬件集成与移动设备数据交互设计和测试系统,2023,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,914412001952813907,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202311835208.0,一种基于混合组网通信的在线监测数据融合技术,2023,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,914412001952813907,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN201910440488.2,一种太阳能无人机自动充电屋,2019,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,91440000730486030B; 914419007385933083,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202211145003.5,一种基于无人机、云平台与AR眼镜互联的智慧消防系统,2022,珠海安擎科技有限公司,珠海安擎科技有限公司,北京安擎智飞科技有限公司,91440402MA7F2J5E28,珠海安擎科技有限公司,91440402MA7F2J5E28,信用代码直连,主导申请人与当前权利人不一致
CN202080081314.2,无人机丢失认证方法和系统、终端设备及遥控设备,2020,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆百旺科技有限公司,914403007954257495,深圳市大疆创新科技有限公司,914403007954257495,信用代码直连,主导申请人与当前权利人不一致
CN202010054064.5,一种电力巡线无人机及其在线充电方法,2020,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,91440000730486030B; 914419007385933083,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202211045109.8,一种基于北斗时空数据感知的电力巡检数据同步系统,2022,广东电网有限责任公司; 广东电网有限责任公司电力调度控制中心,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司电力调度控制中心,91440000730486030B; 91440104617404881F,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410553517.7,一种飞行器检测方法、装置、设备和存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,91440000730486030B; 91441300617890883M,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410811104.4,一种电力设备监控系统及方法,2024,广东电网有限责任公司; 广东电网有限责任公司韶关供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司韶关供电局,91440000730486030B; 914402001915260394,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410707961.X,一种光纤卷绕机构、防电子干扰无人飞行器,2024,深圳联合飞机科技有限公司,深圳联合飞机科技有限公司,深圳中航智飞机装备有限公司,914403003116581250,深圳联合飞机科技有限公司,914403003116581250,信用代码直连,主导申请人与当前权利人不一致
CN202410673756.6,一种云边端协同一体化的机载智能吊舱平台及控制方法,2024,广东电网有限责任公司信息中心,广东电网有限责任公司信息中心,广东电网有限责任公司信息中心,91440104693553264E,广东电网有限责任公司,91440000730486030B,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.833
CN202411591622.6,一种无人机充电设备,2024,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,91440000730486030B; 914419007385933083,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411670070.8,高压线旁树枝切割装置,2024,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411657317.2,无人机,2024,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
