申请号,专利名称,申请年份,申请人,主导申请人名称,当前权利人,专利表统一社会信用代码,建议匹配企业,建议匹配信用代码,建议匹配方式,人工复核原因
CN202411569564.7,无人机的接地装置及无人机,2024,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,91440000730486030B; 91440803194383571C,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410428856.2,一种用于辅助电线架设安装引绳的无人机防撞方法,2024,广东电网有限责任公司揭阳供电局; 广东电网有限责任公司揭阳惠来供电局; 广东中毅电力建设有限公司,广东电网有限责任公司揭阳供电局,广东电网有限责任公司揭阳供电局; 广东电网有限责任公司揭阳惠来供电局; 广东中毅电力建设有限公司,91445200190412515J; ;,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),多申请人；未匹配到企业；主导申请人与当前权利人不一致；存在高相似候选:0.867
CN201710939715.7,一种无人飞行器,2017,深圳市道通智能航空技术股份有限公司,深圳市道通智能航空技术股份有限公司,广州市道义和谐科技发展有限公司,91440300306077254B,深圳市道通智能航空技术股份有限公司,91440300306077254B,信用代码直连,主导申请人与当前权利人不一致
CN202210406034.5,毫米波雷达和无人飞行器,2022,深圳市道通科技股份有限公司,深圳市道通科技股份有限公司,深圳市道通科技股份有限公司,91440300767550462C,深圳市道通智能航空技术股份有限公司,91440300306077254B,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.8
CN202411921782.2,电力巡检无人机及控制方法,2024,南方电网通用航空服务有限公司; 南方电网产业投资集团有限责任公司,南方电网通用航空服务有限公司,南方电网通用航空服务有限公司; 南方电网产业投资集团有限责任公司,91530000MA6MYLGN0A; 91440101MA5CHUQD39,南方电网通用航空服务有限公司,91530000MA6MYLGN0A,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411897568.8,树障修剪无人机,2024,南方电网通用航空服务有限公司; 南方电网产业投资集团有限责任公司,南方电网通用航空服务有限公司,南方电网通用航空服务有限公司; 南方电网产业投资集团有限责任公司,91530000MA6MYLGN0A; 91440101MA5CHUQD39,南方电网通用航空服务有限公司,91530000MA6MYLGN0A,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411901646.7,无人机的动力装置及无人机,2024,南方电网通用航空服务有限公司; 南方电网产业投资集团有限责任公司,南方电网通用航空服务有限公司,南方电网通用航空服务有限公司; 南方电网产业投资集团有限责任公司,91530000MA6MYLGN0A; 91440101MA5CHUQD39,南方电网通用航空服务有限公司,91530000MA6MYLGN0A,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411927218.1,一种具备天通数据传导网络的户外高空电缆检测装置,2024,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,91440000730486030B; 914414000072087795,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411973590.6,一种输电线清障系统及方法,2024,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,91440000730486030B; 914419007385933083,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411929424.6,巡检机器人,2024,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,91440000730486030B; 91440803194383571C,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202210966264.7,电力巡检无人机,2022,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,91440000730486030B; 914419007385933083,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202211260877.5,一种无人机投放式驱鸟器,2022,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202211411533.X,一种无人机风驱式喷洒装置,2022,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202111445352.4,一种固定翼瓦楞结构及固定翼无人机,2021,深圳市中联讯科技有限公司,深圳市中联讯科技有限公司,深圳市中联讯科技有限公司,91440300772714863C,深圳市中科瀚跃科技有限公司,91440300319535226J,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.8
CN202210677391.5,一种无人机降落伞的控制方法、无人机降落伞及无人机,2022,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,91440000730486030B; 914419007385933083,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202310540653.8,一种无人机机身及无人机,2023,深圳联合飞机科技有限公司,深圳联合飞机科技有限公司,深圳镧影科技有限公司,914403003116581250,深圳联合飞机科技有限公司,914403003116581250,信用代码直连,主导申请人与当前权利人不一致
CN201911021979.X,一种用于无人机的支架结构,2019,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202010956508.4,飞行器的机身组件和具有其的飞行器,2020,广州极飞科技有限公司,广州极飞科技有限公司,广州极飞科技股份有限公司,91440106593721849Y,广州极飞科技股份有限公司,91440106593721849Y,当前权利人代码直连,主导申请人与当前权利人不一致
CN202011479597.4,飞行器,2020,广州极飞科技有限公司,广州极飞科技有限公司,广州极飞科技股份有限公司,91440106593721849Y,广州极飞科技股份有限公司,91440106593721849Y,当前权利人代码直连,主导申请人与当前权利人不一致
CN202010955607.0,无人机,2020,广州极飞科技有限公司,广州极飞科技有限公司,广州极飞科技股份有限公司,91440106593721849Y,广州极飞科技股份有限公司,91440106593721849Y,当前权利人代码直连,主导申请人与当前权利人不一致
CN202311340574.9,一种远距离激光铁塔螺栓测振系统及方法,2023,广东电网有限责任公司; 广东电网有限责任公司茂名供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司茂名供电局,91440000730486030B; 914409021949241474,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311583877.3,偏重调节装置以及电力巡检无人机,2023,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311579718.6,安装云台以及电力巡检无人机,2023,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311554139.6,一种多功能防鸟装置,2023,广东电网有限责任公司江门供电局; 广东电网有限责任公司,广东电网有限责任公司江门供电局,广东电网有限责任公司江门供电局; 广东电网有限责任公司,9144070361774339XT; 91440000730486030B,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),多申请人；未匹配到企业；主导申请人与当前权利人不一致；存在高相似候选:0.867
CN202311534029.3,一种无人机定位装置,2023,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,91440000730486030B; 91440803194383571C,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311563799.0,一种配电线路通道树障清理装置和作业方法,2023,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,91440000730486030B; 9144060073757157XN,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311563697.9,一种电力检测装置,2023,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,91440000730486030B; 9144060073757157XN,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311624089.4,一种防风偏的输电线路巡检装置,2023,广东电网有限责任公司; 广东电网有限责任公司电力科学研究院,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司电力科学研究院,91440000730486030B; 91440000890323118Q,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311834291.X,一种无人机安装警示灯装置和使用方法,2023,广东电网有限责任公司; 广东电网有限责任公司茂名供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司茂名供电局,91440000730486030B; 914409021949241474,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311721352.1,无人机修剪装置,2023,广东电网有限责任公司; 广东电网有限责任公司清远供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司清远供电局,91440000730486030B; 914418028975868503,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311662079.X,一种输电线路施工过程的管控系统及管控方法,2023,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,91445302736165326Y,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202311847336.7,一种架空线路清洁装置和使用方法,2023,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311626580.0,一种输电线路巡检无人机防电磁干扰方法及装置,2023,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,广东电网有限责任公司肇庆供电局,914412001952813907,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202180101680.4,数据采集方法、数据展示方法、数据处理方法、飞行器的降落方法、数据展示系统及存储介质,2021,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市卓驭科技有限公司,914403007954257495,深圳市大疆创新科技有限公司,914403007954257495,信用代码直连,主导申请人与当前权利人不一致
CN202311831278.9,一种3D打印的无人机机翼及其制备方法,2023,广州中科云飞科技创新有限公司,广州中科云飞科技创新有限公司,广州中科云飞科技创新有限公司,91440112MAC1C93D5C,广州中科云图智能科技有限公司,91440101MA59P95W94,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.786
CN202410315493.1,局部放电的检测方法、装置、电子设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司珠海供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司珠海供电局,91440000730486030B; 91440400736180497L,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202211387069.5,一种架空线路的防坠落装置及防坠落方法,2022,广东电网有限责任公司; 广东电网有限责任公司潮州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司潮州供电局,91440000730486030B; 914451001981756656,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202110950585.3,一种未知环境下的旋翼飞行器输电线路巡检方法及装置,2021,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司肇庆供电局,91440000730486030B; 914412001952813907,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN201880069902.7,农业植保无人机的控制方法、农业植保无人机和计算机可读存储介质,2018,深圳市大疆软件科技有限公司,深圳市大疆软件科技有限公司,深圳市大疆软件科技有限公司,914403003564558746,深圳市大疆灵眸科技有限公司,914403000589938852,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.846
CN202080071437.8,喷洒作业方法、装置、无人机及存储介质,2020,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆百旺科技有限公司,914403007954257495,深圳市大疆创新科技有限公司,914403007954257495,信用代码直连,主导申请人与当前权利人不一致
CN201911234652.0,一种低速高升阻比布局的激光垂起固定翼无人机,2019,广东电网有限责任公司; 广东电网能源发展有限公司,广东电网有限责任公司,广东电网有限责任公司; 广东电网能源发展有限公司,91440000730486030B; 91440000190324785G,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202210585513.8,一种喷洒装置及轻量化喷洒无人机,2022,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202211412877.2,一种无人机风驱式喷洒装置,2022,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN201810067287.8,一种具有旋翼保护罩的飞行器,2018,深圳市中联讯科技有限公司,深圳市中联讯科技有限公司,深圳市中联讯科技有限公司,91440300772714863C,深圳市中科瀚跃科技有限公司,91440300319535226J,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.8
CN201910440512.2,一种无人机电动折叠飞行桨,2019,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,91440000730486030B; 914419007385933083,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202210804869.6,一种电力巡检多旋翼无人机坠机自救保护装置,2022,广东电网有限责任公司; 广东电网有限责任公司潮州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司潮州供电局,91440000730486030B; 914451001981756656,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN201910440485.9,一种可折叠的无人机飞行桨,2019,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,91440000730486030B; 914419007385933083,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202110960494.8,一种消防救援用无人机,2021,深圳市鹏锦科技有限公司,深圳市鹏锦科技有限公司,深圳市鹏锦科技有限公司,914403007787753765,深圳市鹏葵航空科技有限公司,91440300MADXK55L7T,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.833
CN201911236013.8,一种激光垂起固定翼无人机载荷保护结构,2019,广东电网有限责任公司; 广东电网能源发展有限公司,广东电网有限责任公司,广东电网有限责任公司; 广东电网能源发展有限公司,91440000730486030B; 91440000190324785G,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202210879719.1,一种电网高空清障机器人,2022,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202111350976.8,无人机植保设备和无人机机载喷洒装置,2021,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆百旺科技有限公司,914403007954257495,深圳市大疆创新科技有限公司,914403007954257495,信用代码直连,主导申请人与当前权利人不一致
CN202310144924.8,一种无人飞行器,2023,深圳联合飞机科技有限公司,深圳联合飞机科技有限公司,深圳中航智飞机装备有限公司,914403003116581250,深圳联合飞机科技有限公司,914403003116581250,信用代码直连,主导申请人与当前权利人不一致
CN202080069840.7,无人机,2020,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆百旺科技有限公司,914403007954257495,深圳市大疆创新科技有限公司,914403007954257495,信用代码直连,主导申请人与当前权利人不一致
CN202411081041.8,一种免停电装拆的太阳能电力架空线路智能警示装置,2024,广东电网有限责任公司中山供电局,广东电网有限责任公司中山供电局,广东电网有限责任公司中山供电局,9144200073755186X1,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410676976.4,一种无人机及其红外测温方法、装置,2024,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,91440000730486030B; 91441300617890883M,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410787873.5,一种无人机照明系统,2024,广东电网有限责任公司中山供电局,广东电网有限责任公司中山供电局,广东电网有限责任公司中山供电局,9144200073755186X1,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202410917991.3,无人机辅助穿引电线防跳线的电线架设安装方法,2024,广东电网有限责任公司; 广东电网有限责任公司揭阳惠来供电局; 广东中毅电力建设有限公司,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司揭阳惠来供电局; 广东中毅电力建设有限公司,91440000730486030B; ;,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411063607.4,无人机喷洒设备及其使用方法,2024,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司汕头供电局,91440000730486030B; 91440500192720503A,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202310553290.1,一种自动泊车方法、电子设备、车辆及可读存储介质,2023,比亚迪股份有限公司; 比亚迪汽车工业有限公司,比亚迪股份有限公司,比亚迪股份有限公司; 比亚迪汽车工业有限公司,91440300192317458F; 91440300791738553L,比亚迪股份有限公司,91440300192317458F,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411177219.9,配网线路修复设备以及配网线路修复方法,2024,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司梅州供电局,91440000730486030B; 914414000072087795,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202111186933.0,隔膜泵及农业无人机,2018,深圳市大疆软件科技有限公司,深圳市大疆软件科技有限公司,深圳市大疆软件科技有限公司,914403003564558746,深圳市大疆灵眸科技有限公司,914403000589938852,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.846
CN202411626125.5,一种电网应急巡视方法、装置、设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,91440000730486030B; 914419007385933083,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411531546.X,电力巡检的巡检路径确定方法、装置及电子设备,2024,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司佛山供电局,91440000730486030B; 9144060073757157XN,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411675314.1,无人机的全生命周期管理方法、系统和装置,2024,广东电网有限责任公司; 广东电网有限责任公司珠海供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司珠海供电局,91440000730486030B; 91440400736180497L,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411766795.7,一种目标区域定位方法、装置、设备、介质及程序产品,2024,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,91440000730486030B; 91441300617890883M,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411954531.4,无人机电磁弹射系统的控制方法、装置及电子设备,2024,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,91440000730486030B; 91441300617890883M,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202210984858.0,基于无人机的自动化验电方法、装置、设备及存储介质,2022,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司东莞供电局,91440000730486030B; 914419007385933083,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202311331490.9,一种电力便道巡检方法、设备及系统,2023,广东电网有限责任公司; 广东电网有限责任公司河源供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司河源供电局,91440000730486030B; 91441602196972652K,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
