统一社会信用代码,公司名称,企业标准名,所属城市,所属区县,成立日期,企业类型标签,产业链环节,产业链判定依据,成立年份分层,专利活跃度分层,样本分层标签,专利总量,累计发明申请量,近3年发明申请量,首次申请年份,最近申请年份,有专利申请年份数,技术持续性,技术领域广度,联合申请占比,年度发明申请量_2010,年度发明申请量_2011,年度发明申请量_2012,年度发明申请量_2013,年度发明申请量_2014,年度发明申请量_2015,年度发明申请量_2016,年度发明申请量_2017,年度发明申请量_2018,年度发明申请量_2019,年度发明申请量_2020,年度发明申请量_2021,年度发明申请量_2022,年度发明申请量_2023,年度发明申请量_2024
914419007385933083,广东电网有限责任公司东莞供电局,广东电网有限责任公司东莞供电局,东莞市,东莞市,2002-04-08,产业运营类,下游,服务,2010-2019,中专利,东莞市|2010-2019|产业运营类|中专利,9,9,9,2022,2024,2,0.087,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7
91440605MA52DEJ91R,佛山市南海区大数据投资建设有限公司,佛山市南海区大数据投资建设有限公司,佛山市,南海区,2018-10-19,投资发展类,中游,系统集成,2010-2019,中专利,佛山市|2010-2019|投资发展类|中专利,4,4,4,2024,2024,1,0.1429,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
91440606MA531XDX75,佛山顺德光启尖端装备有限公司,佛山顺德光启尖端装备有限公司,佛山市,顺德区,2019-03-26,产业运营类,中游,航空、航空器,2010-2019,中专利,佛山市|2010-2019|产业运营类|中专利,4,4,0,2016,2017,2,0.3333,4,0.0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
91440000730486030B,广东电网有限责任公司,广东电网有限责任公司,广州市,越秀区,2001-08-03,投资发展类,下游,服务、培训,2010-2019,高专利,广州市|2010-2019|投资发展类|高专利,194,194,164,2018,2024,7,0.2917,95,0.8299,0,0,0,0,0,0,0,0,1,7,6,16,21,38,105
91440106593721849Y,广州极飞科技股份有限公司,广州极飞科技股份有限公司,广州市,黄埔区,2012-04-13,产业运营类,中游,飞行器、智能无人飞行器、系统集成,2010-2019,高专利,广州市|2010-2019|产业运营类|高专利,192,192,124,2016,2024,9,0.6923,68,0.0,0,0,0,0,0,0,1,9,2,11,16,29,13,83,28
91440101MA9W1BQA5Y,广东汇天航空航天科技有限公司,广东汇天航空航天科技有限公司,广州市,天河区,2020-12-02,产业运营类,中游,飞行器、航空、航天、智能无人飞行器、系统集成,2020-2022,高专利,广州市|2020-2022|产业运营类|高专利,47,47,46,2021,2024,4,0.8,23,0.0,0,0,0,0,0,0,0,0,0,0,0,1,10,27,9
91440116MA59AB9P0B,亿航智能设备有限公司,亿航智能设备有限公司,广州市,黄埔区,2015-10-15,产业运营类,中游,无人机、航空、航天、航空器、系统集成,2010-2019,高专利,广州市|2010-2019|产业运营类|高专利,37,37,36,2020,2024,4,0.4,32,0.0,0,0,0,0,0,0,0,0,0,0,1,0,12,12,12
91440101734916755P,广东电网有限责任公司广州供电局,广东电网有限责任公司广州供电局,广州市,天河区,2002-02-26,投资发展类,下游,服务,2010-2019,中专利,广州市|2010-2019|投资发展类|中专利,33,33,30,2018,2024,5,0.2174,23,0.0303,0,0,0,0,0,0,0,0,1,0,0,2,3,13,14
91530000MA6MYLGN0A,南方电网通用航空服务有限公司,南方电网通用航空服务有限公司,广州市,南沙区,2018-01-05,产业运营类,中游,飞行器、航空、智能无人飞行器、航空器,2010-2019,中专利,广州市|2010-2019|产业运营类|中专利,23,23,23,2023,2024,2,0.2857,21,0.1304,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8
91440101MA59P95W94,广州中科云图智能科技有限公司,广州中科云图智能科技有限公司,广州市,海珠区,2017-06-15,产业运营类,中游,飞行器、智能无人飞行器、测绘、遥感、系统集成,2010-2019,中专利,广州市|2010-2019|产业运营类|中专利,16,16,15,2021,2024,3,0.375,13,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14
91440115734926603P,广州市华科尔科技股份有限公司,广州市华科尔科技股份有限公司,广州市,南沙区,2001-07-12,服务平台类,中游,无人机、航空,2010-2019,中专利,广州市|2010-2019|服务平台类|中专利,14,14,9,2018,2024,5,0.2083,12,0.0,0,0,0,0,0,0,0,0,4,0,0,1,2,1,6
91440000190345797E,南方电网电力科技股份有限公司,南方电网电力科技股份有限公司,广州市,越秀区,1988-02-22,产业运营类,中游,飞行器、智能无人飞行器、系统集成,2010-2019,中专利,广州市|2010-2019|产业运营类|中专利,13,13,13,2022,2024,3,0.0811,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10
91440106304742759X,广州亿航智能技术有限公司,广州亿航智能技术有限公司,广州市,天河区,2014-08-08,产业运营类,中游,航空、航空器、控制系统,2010-2019,中专利,广州市|2010-2019|产业运营类|中专利,8,8,0,2016,2021,4,0.3636,5,0.0,0,0,0,0,0,0,1,1,5,0,0,1,0,0,0
914401065937484197,广东新禾智慧数字科技有限公司,广东新禾智慧数字科技有限公司,广州市,黄埔区,2012-05-07,产业运营类,中游,飞行器、智能无人飞行器、测绘、遥感、系统集成,2010-2019,中专利,广州市|2010-2019|产业运营类|中专利,1,1,1,2024,2024,1,0.0769,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
914403007954257495,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市,南山区,2006-11-06,服务平台类,中游,航空、航空器,2010-2019,高专利,深圳市|2010-2019|服务平台类|高专利,244,244,28,2012,2023,12,0.6316,99,0.0,0,0,2,9,13,24,23,42,22,22,35,24,24,4,0
91440300306077254B,深圳市道通智能航空技术股份有限公司,深圳市道通智能航空技术股份有限公司,深圳市,南山区,2014-05-29,服务平台类,中游,飞行器、航空、智能无人飞行器、航空器,2010-2019,高专利,深圳市|2010-2019|服务平台类|高专利,99,99,27,2017,2024,8,0.7273,59,0.0,0,0,0,0,0,0,0,18,17,23,3,11,8,11,8
91440300192317458F,比亚迪股份有限公司,比亚迪股份有限公司,深圳市,龙岗区,1995-02-10,服务平台类,下游,服务、交通,2010-2019,高专利,深圳市|2010-2019|服务平台类|高专利,61,61,61,2022,2024,3,0.1,27,0.0328,0,0,0,0,0,0,0,0,0,0,0,0,10,16,35
914403001922038216,华为技术有限公司,华为技术有限公司,深圳市,龙岗区,1987-09-15,服务平台类,中游,系统集成,2010-2019,高专利,深圳市|2010-2019|服务平台类|高专利,48,48,29,2017,2024,8,0.2105,31,0.0,0,0,0,0,0,0,0,2,4,6,6,1,9,15,5
91440300MA5FA4QL2L,丰翼科技(深圳)有限公司,丰翼科技(深圳)有限公司,深圳市,宝安区,2018-08-31,服务平台类,中游,无人机、飞行器、航空、智能无人飞行器、航空器,2010-2019,高专利,深圳市|2010-2019|服务平台类|高专利,39,39,18,2016,2023,8,1.1429,24,0.0,0,0,0,0,0,0,1,4,2,8,4,2,7,11,0
91440300671877217N,深城交科技集团股份有限公司,深城交科技集团股份有限公司,深圳市,龙华区,2008-01-14,投资发展类,中游,系统集成,2010-2019,中专利,深圳市|2010-2019|投资发展类|中专利,23,23,23,2024,2024,1,0.0588,12,0.0435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
914403007787549030,深圳市好盈科技股份有限公司,深圳市好盈科技股份有限公司,深圳市,龙岗区,2005-07-27,投资发展类,中游,飞行器、智能无人飞行器、控制系统,2010-2019,中专利,深圳市|2010-2019|投资发展类|中专利,14,14,12,2018,2024,4,0.2,8,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,9
91440300279392266B,深圳市科卫泰实业发展有限公司,深圳市科卫泰实业发展有限公司,深圳市,宝安区,1997-10-09,投资发展类,中游,航空、航空器、测绘、系统集成,2010-2019,中专利,深圳市|2010-2019|投资发展类|中专利,14,14,6,2018,2024,5,0.1786,14,0.0,0,0,0,0,0,0,0,0,1,3,0,4,0,1,5
91440300319491403H,哈瓦国际航空技术(深圳)有限公司,哈瓦国际航空技术(深圳)有限公司,深圳市,龙华区,2014-11-25,服务平台类,中游,无人机、航空、航空器、测绘、遥感,2010-2019,中专利,深圳市|2010-2019|服务平台类|中专利,13,13,1,2018,2023,5,0.4545,10,0.0,0,0,0,0,0,0,0,0,2,1,8,1,0,1,0
914403003116581250,深圳联合飞机科技有限公司,深圳联合飞机科技有限公司,深圳市,龙岗区,2014-09-23,产业运营类,中游,飞行器、航空、智能无人飞行器、航空器、测绘,2010-2019,中专利,深圳市|2010-2019|产业运营类|中专利,12,12,12,2023,2024,2,0.1818,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
91440300MA5G0YNU5T,美团科技有限公司,美团科技有限公司,深圳市,龙华区,2019-12-25,服务平台类,中游,系统集成,2010-2019,中专利,深圳市|2010-2019|服务平台类|中专利,11,11,11,2023,2024,2,0.3333,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
91440300319512147W,深圳市喜悦智慧数据有限公司,深圳市喜悦智慧数据有限公司,深圳市,龙华区,2014-10-27,产业运营类,中游,系统集成,2010-2019,中专利,深圳市|2010-2019|产业运营类|中专利,6,6,6,2023,2024,2,0.1818,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
914403000589938852,深圳市大疆灵眸科技有限公司,深圳市大疆灵眸科技有限公司,深圳市,南山区,2012-12-13,服务平台类,中游,无人机,2010-2019,中专利,深圳市|2010-2019|服务平台类|中专利,6,6,0,2015,2017,3,0.2308,4,0.0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0
91440300687582704U,顺丰科技有限公司,顺丰科技有限公司,深圳市,南山区,2009-04-07,服务平台类,中游,无人机、系统集成,2010-2019,中专利,深圳市|2010-2019|服务平台类|中专利,4,4,3,2020,2022,2,0.125,4,0.0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
91440300MADFQJH81G,深圳市智源万联科技有限公司,深圳市智源万联科技有限公司,深圳市,南山区,2024-04-12,服务平台类,中游,系统集成,2023-2025,中专利,深圳市|2023-2025|服务平台类|中专利,1,1,1,2024,2024,1,1.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91440300MACM90CQ7A,东融低空经济产业（深圳）有限公司,东融低空经济产业(深圳)有限公司,深圳市,盐田区,2023-06-30,产业运营类,中游,航空,2023-2025,零专利,深圳市|2023-2025|产业运营类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91440300MA5EW8TA18,中亚天空（深圳）科技有限公司,中亚天空(深圳)科技有限公司,深圳市,龙华区,2017-12-01,产业运营类,中游,无人机、飞行器、航空、智能无人飞行器、航空器,2010-2019,零专利,深圳市|2010-2019|产业运营类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91440300MA5G40336F,星球物联网科技（深圳）有限公司,星球物联网科技(深圳)有限公司,深圳市,龙岗区,2020-03-26,投资发展类,下游,服务、培训,2020-2022,零专利,深圳市|2020-2022|投资发展类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91440300MADKPDL559,深圳市皓宇低空科技有限公司,深圳市皓宇低空科技有限公司,深圳市,福田区,2024-05-28,投资发展类,中游,飞行器、航空、智能无人飞行器,2023-2025,零专利,深圳市|2023-2025|投资发展类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91440300MAEERM678P,深圳擎空低空经济有限公司,深圳擎空低空经济有限公司,深圳市,宝安区,2025-03-27,服务平台类,中游,飞行器、智能无人飞行器,2023-2025,零专利,深圳市|2023-2025|服务平台类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91440300MA5FLFKW4K,深圳蜂巢互联科技有限公司,深圳蜂巢互联科技有限公司,深圳市,龙岗区,2019-05-07,投资发展类,下游,服务,2010-2019,零专利,深圳市|2010-2019|投资发展类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91420111MA4KU4X662,软通智慧科技有限公司,软通智慧科技有限公司,深圳市,罗湖区,2017-05-15,服务平台类,中游,系统集成,2010-2019,零专利,深圳市|2010-2019|服务平台类|零专利,0,0,0,,,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914404000684993620,珠海市双捷科技有限公司,珠海市双捷科技有限公司,珠海市,香洲区,2013-05-09,科技研发类,中游,飞行器、智能无人飞行器,2010-2019,中专利,珠海市|2010-2019|科技研发类|中专利,21,21,6,2018,2024,7,0.5833,17,0.0,0,0,0,0,0,0,0,0,2,3,7,3,1,1,4
91440400304050613H,珠海紫燕无人飞行器有限公司,珠海紫燕无人飞行器有限公司,珠海市,香洲区,2014-05-16,投资发展类,中游,飞行器、航空、智能无人飞行器、航空器、测绘,2010-2019,中专利,珠海市|2010-2019|投资发展类|中专利,9,9,9,2023,2024,2,0.1818,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
91440402MA7F2J5E28,珠海安擎科技有限公司,珠海安擎科技有限公司,珠海市,香洲区,2022-01-14,服务平台类,中游,飞行器、智能无人飞行器、测绘、系统集成,2020-2022,中专利,珠海市|2020-2022|服务平台类|中专利,4,4,4,2022,2024,2,0.6667,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
91440400MA4UQCBU13,珠海天晴航空航天科技有限公司,珠海天晴航空航天科技有限公司,珠海市,金湾区,2016-06-06,服务平台类,中游,飞行器、航空、航天、智能无人飞行器、航空器,2010-2019,中专利,珠海市|2010-2019|服务平台类|中专利,2,2,0,2017,2017,1,0.1111,2,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
